English,Russian,куриные желудки,куриные желудки
English,Russian,creep,слизняк
English,Russian,entail,влекут за собой
English,Russian,dip,окунать
English,Russian,wretched,несчастный
English,Russian,clot,сгусток
English,Russian,testimony,свидетельство
English,Russian,angle-joint,угловой
English,Russian,reek,вонять
English,Russian,smudge,размазывать
English,Russian,ridiculate,высмеивать
English,Russian,perverse,извращенный
English,Russian,hideous,отвратительный
English,Russian,to be drawn to,быть привлеченным к
English,Russian,spanner,гаечный ключ
English,Russian,cramp,судорога
English,Russian,nib,перо
English,Russian,gulp,глоток
English,Russian,hunk,кусок
English,Russian,rubble,щебень
English,Russian,scrutinize,внимательно изучать
English,Russian,hover,парить
English,Russian,plaster,штукатурка
English,Russian,caption,подпись
English,Russian,tack,прихватить
English,Russian,trip over,споткнуться
Russian,English,мак,poppy
English,Russian,lane,переулок
Russian,English,сеанс,session
Russian,English,неприкаянный,restless
English,Russian,throw up,тошнить
Russian,German,репетитор,Tutor
English,Russian,duplicity,двуличие
Russian,English,носорог,rhinoceros
Russian,English,львица,lioness
Russian,English,кошачьи,feline
English,Russian,seal,тюлень
Russian,English,пошарпать,spar
Russian,English,самогон,moonshine
English,Russian,hooch,хулиган
German,Russian,die zwiebel,лук
Russian,English,муравейник,anthill
English,Russian,let bygones be bygones,пусть прошлое будет в прошлом
English,Russian,sloopy,бездельник
English,Russian,bobcat,рысь
English,Russian,plant,растение
Russian,English,взрыв,explosion
Russian,English,присущ,inherent
German,Russian,brauche,необходимость
German,Russian,sehen,видеть
German,Russian,den,в
German,Russian,mag,нравиться
German,Russian,habt,имеют
English,Russian,slime,слизь
English,Russian,carving,резьба
English,Russian,elaborate,разрабатывать
German,Russian,gegen,против
English,Russian,pervasive,всепроникающий
German,Russian,aber,но
German,Russian,sehr,очень
German,Russian,diese,эти
German,Russian,schlecht,плохой
German,Russian,die tasche,Сумка
German,Russian,klein,небольшой
German,Russian,der brief,письмо
German,Russian,groß,большой
German,Russian,lebe,жить
German,Russian,schreibe,записывать
German,Russian,studieren,учиться
German,Russian,dort,там
German,Russian,wohnen,проживать
German,Russian,arbeiten,Работа
English,Russian,tantrum,истерика
English,Russian,underline,подчеркивать
English,Russian,boil over,переварить
English,Russian,temper tantrum,истерика
German,Russian,vielen dank,большое спасибо
Russian,English,наглость,impudence
German,Russian,abbrechen,прервать
German,Russian,beenden,расставаться
German,Russian,inhaber,владелец
German,Russian,aus,конец
German,Russian,komme,прийти
German,Russian,lerne,учиться
English,Russian,parlor,гостиная
English,Russian,fuzz,пух
German,Russian,stachelbeeren,крыжовник
Russian,English,картофель фри,French fries
Russian,English,вовлеченность,involvement
English,Russian,run over by a car,сбитый машиной
English,Russian,vial,флакон
Russian,English,комбинезон,overalls
German,Russian,huhn,курица
German,Russian,abholen,поднимать
German,Russian,zeitung,газета
